,question,answer,context,answer_start,title
691,KPI của tháng 2 2020 là bao nhiêu,9.9%,"hiện tại tình hình của chỉ tiêu Dịch vụ ViettelPay của tổng công ty VDS trong năm 2020 đạt được đánh giá là đạt bao gồm 0 lần và không đạt là 2 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 13.1% được đánh giá là Không đạt
T2/2020 đạt được KPI là: 9.9% được đánh giá là Không đạt",260,viewStat
692,chỉ tiêu trong năm 2020 đạt bao nhiêu lần,0 lần,hiện tại tình hình của chỉ tiêu Kênh BO của tổng công ty VDS trong năm 2020 đạt được đánh giá là đạt bao gồm 0 lần và không đạt là 0 lần. ,109,viewStat
693,chỉ tiêu trong năm 2020 không đạt bao nhiêu lần,0 lần,hiện tại tình hình của chỉ tiêu Kênh BO của tổng công ty VDS trong năm 2020 đạt được đánh giá là đạt bao gồm 0 lần và không đạt là 0 lần. ,131,viewStat
694,kênh BO là của công ty nào ,tổng công ty VDS,hiện tại tình hình của chỉ tiêu Kênh BO của tổng công ty VDS trong năm 2020 đạt được đánh giá là đạt bao gồm 0 lần và không đạt là 0 lần. ,44,viewStat
695,tổng đài 18008000 của công ty nào,tổng công ty VTS,"hiện tại tình hình của chỉ tiêu Tổng đài 18008000 của tổng công ty VTS trong 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 7 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 82.4% được đánh giá là Không đạt
T2/2020 đạt được KPI là: 97.8% được đánh giá là Đạt
T3/2020 đạt được KPI là: 86.9% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 89.7% được đánh giá là Không đạt
T5/2020 đạt được KPI là: 88.6% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.3% được đánh giá là Đạt
T7/2020 đạt được KPI là: 82.3% được đánh giá là Không đạt
T8/2020 đạt được KPI là: 83.7% được đánh giá là Không đạt
T9/2020 đạt được KPI là: 87.1% được đánh giá là Không đạt",54,viewStat
696,chỉ tiêu trong 2020 đạt bao nhiêu lần,2 lần,"hiện tại tình hình của chỉ tiêu Tổng đài 18008000 của tổng công ty VTS trong 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 7 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 82.4% được đánh giá là Không đạt
T2/2020 đạt được KPI là: 97.8% được đánh giá là Đạt
T3/2020 đạt được KPI là: 86.9% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 89.7% được đánh giá là Không đạt
T5/2020 đạt được KPI là: 88.6% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.3% được đánh giá là Đạt
T7/2020 đạt được KPI là: 82.3% được đánh giá là Không đạt
T8/2020 đạt được KPI là: 83.7% được đánh giá là Không đạt
T9/2020 đạt được KPI là: 87.1% được đánh giá là Không đạt",115,viewStat
697,chỉ tiêu trong 2020 không đạt bao nhiêu lần,7 lần,"hiện tại tình hình của chỉ tiêu Tổng đài 18008000 của tổng công ty VTS trong 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 7 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 82.4% được đánh giá là Không đạt
T2/2020 đạt được KPI là: 97.8% được đánh giá là Đạt
T3/2020 đạt được KPI là: 86.9% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 89.7% được đánh giá là Không đạt
T5/2020 đạt được KPI là: 88.6% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.3% được đánh giá là Đạt
T7/2020 đạt được KPI là: 82.3% được đánh giá là Không đạt
T8/2020 đạt được KPI là: 83.7% được đánh giá là Không đạt
T9/2020 đạt được KPI là: 87.1% được đánh giá là Không đạt",137,viewStat
698,KPI của tháng 1 2020,82.4%,"hiện tại tình hình của chỉ tiêu Tổng đài 18008000 của tổng công ty VTS trong 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 7 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 82.4% được đánh giá là Không đạt
T2/2020 đạt được KPI là: 97.8% được đánh giá là Đạt
T3/2020 đạt được KPI là: 86.9% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 89.7% được đánh giá là Không đạt
T5/2020 đạt được KPI là: 88.6% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.3% được đánh giá là Đạt
T7/2020 đạt được KPI là: 82.3% được đánh giá là Không đạt
T8/2020 đạt được KPI là: 83.7% được đánh giá là Không đạt
T9/2020 đạt được KPI là: 87.1% được đánh giá là Không đạt",197,viewStat
699,KPI của tháng 2 2020,97.8%,"hiện tại tình hình của chỉ tiêu Tổng đài 18008000 của tổng công ty VTS trong 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 7 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 82.4% được đánh giá là Không đạt
T2/2020 đạt được KPI là: 97.8% được đánh giá là Đạt
T3/2020 đạt được KPI là: 86.9% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 89.7% được đánh giá là Không đạt
T5/2020 đạt được KPI là: 88.6% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.3% được đánh giá là Đạt
T7/2020 đạt được KPI là: 82.3% được đánh giá là Không đạt
T8/2020 đạt được KPI là: 83.7% được đánh giá là Không đạt
T9/2020 đạt được KPI là: 87.1% được đánh giá là Không đạt",255,viewStat
700,KPI của tháng 3 2020,86.9%,"hiện tại tình hình của chỉ tiêu Tổng đài 18008000 của tổng công ty VTS trong 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 7 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 82.4% được đánh giá là Không đạt
T2/2020 đạt được KPI là: 97.8% được đánh giá là Đạt
T3/2020 đạt được KPI là: 86.9% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 89.7% được đánh giá là Không đạt
T5/2020 đạt được KPI là: 88.6% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.3% được đánh giá là Đạt
T7/2020 đạt được KPI là: 82.3% được đánh giá là Không đạt
T8/2020 đạt được KPI là: 83.7% được đánh giá là Không đạt
T9/2020 đạt được KPI là: 87.1% được đánh giá là Không đạt",307,viewStat
701,KPI của tháng 4 2020,89.7%,"hiện tại tình hình của chỉ tiêu Tổng đài 18008000 của tổng công ty VTS trong 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 7 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 82.4% được đánh giá là Không đạt
T2/2020 đạt được KPI là: 97.8% được đánh giá là Đạt
T3/2020 đạt được KPI là: 86.9% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 89.7% được đánh giá là Không đạt
T5/2020 đạt được KPI là: 88.6% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.3% được đánh giá là Đạt
T7/2020 đạt được KPI là: 82.3% được đánh giá là Không đạt
T8/2020 đạt được KPI là: 83.7% được đánh giá là Không đạt
T9/2020 đạt được KPI là: 87.1% được đánh giá là Không đạt",365,viewStat
702,KPI của tháng 5 2020,88.6%,"hiện tại tình hình của chỉ tiêu Tổng đài 18008000 của tổng công ty VTS trong 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 7 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 82.4% được đánh giá là Không đạt
T2/2020 đạt được KPI là: 97.8% được đánh giá là Đạt
T3/2020 đạt được KPI là: 86.9% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 89.7% được đánh giá là Không đạt
T5/2020 đạt được KPI là: 88.6% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.3% được đánh giá là Đạt
T7/2020 đạt được KPI là: 82.3% được đánh giá là Không đạt
T8/2020 đạt được KPI là: 83.7% được đánh giá là Không đạt
T9/2020 đạt được KPI là: 87.1% được đánh giá là Không đạt",423,viewStat
703,KPI của tháng 6 2020,97.3%,"hiện tại tình hình của chỉ tiêu Tổng đài 18008000 của tổng công ty VTS trong 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 7 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 82.4% được đánh giá là Không đạt
T2/2020 đạt được KPI là: 97.8% được đánh giá là Đạt
T3/2020 đạt được KPI là: 86.9% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 89.7% được đánh giá là Không đạt
T5/2020 đạt được KPI là: 88.6% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.3% được đánh giá là Đạt
T7/2020 đạt được KPI là: 82.3% được đánh giá là Không đạt
T8/2020 đạt được KPI là: 83.7% được đánh giá là Không đạt
T9/2020 đạt được KPI là: 87.1% được đánh giá là Không đạt",481,viewStat
704,KPI của tháng 7 2020,82.3%,"hiện tại tình hình của chỉ tiêu Tổng đài 18008000 của tổng công ty VTS trong 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 7 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 82.4% được đánh giá là Không đạt
T2/2020 đạt được KPI là: 97.8% được đánh giá là Đạt
T3/2020 đạt được KPI là: 86.9% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 89.7% được đánh giá là Không đạt
T5/2020 đạt được KPI là: 88.6% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.3% được đánh giá là Đạt
T7/2020 đạt được KPI là: 82.3% được đánh giá là Không đạt
T8/2020 đạt được KPI là: 83.7% được đánh giá là Không đạt
T9/2020 đạt được KPI là: 87.1% được đánh giá là Không đạt",533,viewStat
705,KPI của tháng 8 2020,83.7%,"hiện tại tình hình của chỉ tiêu Tổng đài 18008000 của tổng công ty VTS trong 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 7 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 82.4% được đánh giá là Không đạt
T2/2020 đạt được KPI là: 97.8% được đánh giá là Đạt
T3/2020 đạt được KPI là: 86.9% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 89.7% được đánh giá là Không đạt
T5/2020 đạt được KPI là: 88.6% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.3% được đánh giá là Đạt
T7/2020 đạt được KPI là: 82.3% được đánh giá là Không đạt
T8/2020 đạt được KPI là: 83.7% được đánh giá là Không đạt
T9/2020 đạt được KPI là: 87.1% được đánh giá là Không đạt",591,viewStat
706,KPI của tháng 9 2020,87.1%,"hiện tại tình hình của chỉ tiêu Tổng đài 18008000 của tổng công ty VTS trong 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 7 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 82.4% được đánh giá là Không đạt
T2/2020 đạt được KPI là: 97.8% được đánh giá là Đạt
T3/2020 đạt được KPI là: 86.9% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 89.7% được đánh giá là Không đạt
T5/2020 đạt được KPI là: 88.6% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.3% được đánh giá là Đạt
T7/2020 đạt được KPI là: 82.3% được đánh giá là Không đạt
T8/2020 đạt được KPI là: 83.7% được đánh giá là Không đạt
T9/2020 đạt được KPI là: 87.1% được đánh giá là Không đạt",649,viewStat
707,chỉ tiêu tính đến tháng 5 2021 đạt bao nhiêu lần,1 lần,hiện tại tình hình của chỉ tiêu Tỷ lệ phản ánh khiếu nại KH dịch vụ chuyển phát của tổng công ty VTPOST của tháng 5 trong 2 năm gần nhất được đánh giá đạt được bao gồm 1 lần và không đạt là 1 lần. ,176,viewStat
708,chỉ tiêu tính đến tháng 5 2021 không đạt bao nhiêu lần,1 lần,hiện tại tình hình của chỉ tiêu Tỷ lệ phản ánh khiếu nại KH dịch vụ chuyển phát của tổng công ty VTPOST của tháng 5 trong 2 năm gần nhất được đánh giá đạt được bao gồm 1 lần và không đạt là 1 lần. ,198,viewStat
709,dữ liệu trên được lấy trong khoảng thời gian bao nhiêu năm,2 năm gần nhất,hiện tại tình hình của chỉ tiêu Tỷ lệ phản ánh khiếu nại KH dịch vụ chuyển phát của tổng công ty VTPOST của tháng 5 trong 2 năm gần nhất được đánh giá đạt được bao gồm 1 lần và không đạt là 1 lần. ,130,viewStat
710,chỉ tiêu trong năm 2020 đạt bao nhiêu lần,2 lần,"hiện tại tình hình của chỉ tiêu Tổng đài 18009000 của tổng công ty VDS trong năm 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 4 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 93.4% được đánh giá là Đạt
T2/2020 đạt được KPI là: 81.7% được đánh giá là Không đạt
T3/2020 đạt được KPI là: 87.8% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 91.0% được đánh giá là Đạt
T5/2020 đạt được KPI là: 86.0% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.7% được đánh giá là Không đạt",119,viewStat
711,chỉ tiêu trong năm 2020 không đạt bao nhiêu lần,4 lần,"hiện tại tình hình của chỉ tiêu Tổng đài 18009000 của tổng công ty VDS trong năm 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 4 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 93.4% được đánh giá là Đạt
T2/2020 đạt được KPI là: 81.7% được đánh giá là Không đạt
T3/2020 đạt được KPI là: 87.8% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 91.0% được đánh giá là Đạt
T5/2020 đạt được KPI là: 86.0% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.7% được đánh giá là Không đạt",141,viewStat
712,KPI tháng 1 2020,93.4%,"hiện tại tình hình của chỉ tiêu Tổng đài 18009000 của tổng công ty VDS trong năm 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 4 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 93.4% được đánh giá là Đạt
T2/2020 đạt được KPI là: 81.7% được đánh giá là Không đạt
T3/2020 đạt được KPI là: 87.8% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 91.0% được đánh giá là Đạt
T5/2020 đạt được KPI là: 86.0% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.7% được đánh giá là Không đạt",201,viewStat
713,KPI tháng 2 2020,81.7%,"hiện tại tình hình của chỉ tiêu Tổng đài 18009000 của tổng công ty VDS trong năm 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 4 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 93.4% được đánh giá là Đạt
T2/2020 đạt được KPI là: 81.7% được đánh giá là Không đạt
T3/2020 đạt được KPI là: 87.8% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 91.0% được đánh giá là Đạt
T5/2020 đạt được KPI là: 86.0% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.7% được đánh giá là Không đạt",253,viewStat
714,KPI tháng 3 2020,87.8%,"hiện tại tình hình của chỉ tiêu Tổng đài 18009000 của tổng công ty VDS trong năm 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 4 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 93.4% được đánh giá là Đạt
T2/2020 đạt được KPI là: 81.7% được đánh giá là Không đạt
T3/2020 đạt được KPI là: 87.8% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 91.0% được đánh giá là Đạt
T5/2020 đạt được KPI là: 86.0% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.7% được đánh giá là Không đạt",311,viewStat
715,KPI tháng 4 2020,91.0%,"hiện tại tình hình của chỉ tiêu Tổng đài 18009000 của tổng công ty VDS trong năm 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 4 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 93.4% được đánh giá là Đạt
T2/2020 đạt được KPI là: 81.7% được đánh giá là Không đạt
T3/2020 đạt được KPI là: 87.8% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 91.0% được đánh giá là Đạt
T5/2020 đạt được KPI là: 86.0% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.7% được đánh giá là Không đạt",369,viewStat
716,KPI tháng 5 2020,86.0%,"hiện tại tình hình của chỉ tiêu Tổng đài 18009000 của tổng công ty VDS trong năm 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 4 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 93.4% được đánh giá là Đạt
T2/2020 đạt được KPI là: 81.7% được đánh giá là Không đạt
T3/2020 đạt được KPI là: 87.8% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 91.0% được đánh giá là Đạt
T5/2020 đạt được KPI là: 86.0% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.7% được đánh giá là Không đạt",421,viewStat
717,KPI tháng 6 2020,97.7%,"hiện tại tình hình của chỉ tiêu Tổng đài 18009000 của tổng công ty VDS trong năm 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 4 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 93.4% được đánh giá là Đạt
T2/2020 đạt được KPI là: 81.7% được đánh giá là Không đạt
T3/2020 đạt được KPI là: 87.8% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 91.0% được đánh giá là Đạt
T5/2020 đạt được KPI là: 86.0% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.7% được đánh giá là Không đạt",479,viewStat
718,Chỉ tiêu tháng 1 2020 đạt không,Đạt,"hiện tại tình hình của chỉ tiêu Tổng đài 18009000 của tổng công ty VDS trong năm 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 4 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 93.4% được đánh giá là Đạt
T2/2020 đạt được KPI là: 81.7% được đánh giá là Không đạt
T3/2020 đạt được KPI là: 87.8% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 91.0% được đánh giá là Đạt
T5/2020 đạt được KPI là: 86.0% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.7% được đánh giá là Không đạt",224,viewStat
719,Chỉ tiêu tháng 2 2020 đạt không,Không đạt,"hiện tại tình hình của chỉ tiêu Tổng đài 18009000 của tổng công ty VDS trong năm 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 4 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 93.4% được đánh giá là Đạt
T2/2020 đạt được KPI là: 81.7% được đánh giá là Không đạt
T3/2020 đạt được KPI là: 87.8% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 91.0% được đánh giá là Đạt
T5/2020 đạt được KPI là: 86.0% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.7% được đánh giá là Không đạt",276,viewStat
720,Chỉ tiêu tháng 3 2020 đạt không,Không đạt,"hiện tại tình hình của chỉ tiêu Tổng đài 18009000 của tổng công ty VDS trong năm 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 4 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 93.4% được đánh giá là Đạt
T2/2020 đạt được KPI là: 81.7% được đánh giá là Không đạt
T3/2020 đạt được KPI là: 87.8% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 91.0% được đánh giá là Đạt
T5/2020 đạt được KPI là: 86.0% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.7% được đánh giá là Không đạt",334,viewStat
721,Chỉ tiêu tháng 4 2020 đạt không,Đạt,"hiện tại tình hình của chỉ tiêu Tổng đài 18009000 của tổng công ty VDS trong năm 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 4 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 93.4% được đánh giá là Đạt
T2/2020 đạt được KPI là: 81.7% được đánh giá là Không đạt
T3/2020 đạt được KPI là: 87.8% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 91.0% được đánh giá là Đạt
T5/2020 đạt được KPI là: 86.0% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.7% được đánh giá là Không đạt",392,viewStat
722,Chỉ tiêu tháng 5 2020 đạt không,Không đạt,"hiện tại tình hình của chỉ tiêu Tổng đài 18009000 của tổng công ty VDS trong năm 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 4 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 93.4% được đánh giá là Đạt
T2/2020 đạt được KPI là: 81.7% được đánh giá là Không đạt
T3/2020 đạt được KPI là: 87.8% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 91.0% được đánh giá là Đạt
T5/2020 đạt được KPI là: 86.0% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.7% được đánh giá là Không đạt",444,viewStat
723,Chỉ tiêu tháng 6 2020 đạt không,Không đạt,"hiện tại tình hình của chỉ tiêu Tổng đài 18009000 của tổng công ty VDS trong năm 2020 đạt được đánh giá là đạt bao gồm 2 lần và không đạt là 4 lần. Cụ thể ta có thể nhìn thấy:
T1/2020 đạt được KPI là: 93.4% được đánh giá là Đạt
T2/2020 đạt được KPI là: 81.7% được đánh giá là Không đạt
T3/2020 đạt được KPI là: 87.8% được đánh giá là Không đạt
T4/2020 đạt được KPI là: 91.0% được đánh giá là Đạt
T5/2020 đạt được KPI là: 86.0% được đánh giá là Không đạt
T6/2020 đạt được KPI là: 97.7% được đánh giá là Không đạt",502,viewStat
724,chỉ tiêu tính đến tháng 9 2020 đạt bao nhiêu lần,0 lần,"hiện tại tình hình của chỉ tiêu Lỗi SME - vBHXH của tổng công ty VTT của tháng 9 trong 1 năm gần nhất được đánh giá đạt được bao gồm 0 lần và không đạt là 1 lần. Cụ thể ta có thể nhìn thấy:
T9/2020 đạt được KPI là: 83.1% được đánh giá là Không đạt",133,viewStat
725,chỉ tiêu tính đến tháng 9 2020 không đạt bao nhiêu lần,1 lần,"hiện tại tình hình của chỉ tiêu Lỗi SME - vBHXH của tổng công ty VTT của tháng 9 trong 1 năm gần nhất được đánh giá đạt được bao gồm 0 lần và không đạt là 1 lần. Cụ thể ta có thể nhìn thấy:
T9/2020 đạt được KPI là: 83.1% được đánh giá là Không đạt",155,viewStat
726,Cụ thể như nào,T9/2020 đạt được KPI là: 83.1% được đánh giá là Không đạt,"hiện tại tình hình của chỉ tiêu Lỗi SME - vBHXH của tổng công ty VTT của tháng 9 trong 1 năm gần nhất được đánh giá đạt được bao gồm 0 lần và không đạt là 1 lần. Cụ thể ta có thể nhìn thấy:
T9/2020 đạt được KPI là: 83.1% được đánh giá là Không đạt",190,viewStat
727,KPI tháng 9 2020,83.1%,"hiện tại tình hình của chỉ tiêu Lỗi SME - vBHXH của tổng công ty VTT của tháng 9 trong 1 năm gần nhất được đánh giá đạt được bao gồm 0 lần và không đạt là 1 lần. Cụ thể ta có thể nhìn thấy:
T9/2020 đạt được KPI là: 83.1% được đánh giá là Không đạt",215,viewStat
728,chỉ tiêu tháng 9 2020 đạt không,Không đạt,"hiện tại tình hình của chỉ tiêu Lỗi SME - vBHXH của tổng công ty VTT của tháng 9 trong 1 năm gần nhất được đánh giá đạt được bao gồm 0 lần và không đạt là 1 lần. Cụ thể ta có thể nhìn thấy:
T9/2020 đạt được KPI là: 83.1% được đánh giá là Không đạt",238,viewStat
729,chỉ tiêu trong năm 2021 đạt bao nhiêu lần,1 lần,"hiện tại tình hình của chỉ tiêu Tỷ lệ kết nối thành công đến tổng đài dịch vụ bưu chính của tổng công ty VTPOST trong năm 2021 đạt được đánh giá là đạt bao gồm 1 lần và không đạt là 2 lần. Cụ thể ta có thể nhìn thấy:
T1/2021 đạt được KPI là: 90.0% được đánh giá là Đạt
T2/2021 đạt được KPI là: 80.1% được đánh giá là Không đạt
T3/2021 đạt được KPI là: 87.7% được đánh giá là Không đạt",160,viewStat
730,chỉ tiêu trong năm 2021 không đạt bao nhiêu lần,2 lần,"hiện tại tình hình của chỉ tiêu Tỷ lệ kết nối thành công đến tổng đài dịch vụ bưu chính của tổng công ty VTPOST trong năm 2021 đạt được đánh giá là đạt bao gồm 1 lần và không đạt là 2 lần. Cụ thể ta có thể nhìn thấy:
T1/2021 đạt được KPI là: 90.0% được đánh giá là Đạt
T2/2021 đạt được KPI là: 80.1% được đánh giá là Không đạt
T3/2021 đạt được KPI là: 87.7% được đánh giá là Không đạt",182,viewStat
731,Tổng đài dịch vụ bưu chính là của công ty nào,VTPOST,"hiện tại tình hình của chỉ tiêu Tỷ lệ kết nối thành công đến tổng đài dịch vụ bưu chính của tổng công ty VTPOST trong năm 2021 đạt được đánh giá là đạt bao gồm 1 lần và không đạt là 2 lần. Cụ thể ta có thể nhìn thấy:
T1/2021 đạt được KPI là: 90.0% được đánh giá là Đạt
T2/2021 đạt được KPI là: 80.1% được đánh giá là Không đạt
T3/2021 đạt được KPI là: 87.7% được đánh giá là Không đạt",105,viewStat
732,KPI tháng 1 2021 đạt bao nhiều %,90.0%,"hiện tại tình hình của chỉ tiêu Tỷ lệ kết nối thành công đến tổng đài dịch vụ bưu chính của tổng công ty VTPOST trong năm 2021 đạt được đánh giá là đạt bao gồm 1 lần và không đạt là 2 lần. Cụ thể ta có thể nhìn thấy:
T1/2021 đạt được KPI là: 90.0% được đánh giá là Đạt
T2/2021 đạt được KPI là: 80.1% được đánh giá là Không đạt
T3/2021 đạt được KPI là: 87.7% được đánh giá là Không đạt",242,viewStat
733,KPI tháng 2 2021 đạt bao nhiều %,80.1%,"hiện tại tình hình của chỉ tiêu Tỷ lệ kết nối thành công đến tổng đài dịch vụ bưu chính của tổng công ty VTPOST trong năm 2021 đạt được đánh giá là đạt bao gồm 1 lần và không đạt là 2 lần. Cụ thể ta có thể nhìn thấy:
T1/2021 đạt được KPI là: 90.0% được đánh giá là Đạt
T2/2021 đạt được KPI là: 80.1% được đánh giá là Không đạt
T3/2021 đạt được KPI là: 87.7% được đánh giá là Không đạt",294,viewStat
734,KPI tháng 3 2021 đạt bao nhiều %,87.7%,"hiện tại tình hình của chỉ tiêu Tỷ lệ kết nối thành công đến tổng đài dịch vụ bưu chính của tổng công ty VTPOST trong năm 2021 đạt được đánh giá là đạt bao gồm 1 lần và không đạt là 2 lần. Cụ thể ta có thể nhìn thấy:
T1/2021 đạt được KPI là: 90.0% được đánh giá là Đạt
T2/2021 đạt được KPI là: 80.1% được đánh giá là Không đạt
T3/2021 đạt được KPI là: 87.7% được đánh giá là Không đạt",352,viewStat
735,chỉ tiêu trong năm 2021 đạt bao nhiêu lần,1 lần,"hiện tại tình hình của chỉ tiêu Mức độ hài lòng dịch vụ Kênh truyền (CSAT) của tổng công ty VTS trong 2021 đạt được đánh giá là đạt bao gồm 1 lần và không đạt là 5 lần. Cụ thể ta có thể nhìn thấy:
T1/2021 đạt được KPI là: 90.5% được đánh giá là Không đạt
T2/2021 đạt được KPI là: 85.1% được đánh giá là Không đạt
T3/2021 đạt được KPI là: 96.2% được đánh giá là Đạt
T4/2021 đạt được KPI là: 83.1% được đánh giá là Không đạt
T5/2021 đạt được KPI là: 84.5% được đánh giá là Không đạt
T6/2021 đạt được KPI là: 85.5% được đánh giá là Không đạt",140,viewStat
